Jan,Max,Avg,Min
2014-01-01,55,49.0,41
2014-01-02,60,51.7,44
2014-01-03,63,52.7,46
2014-01-04,64,50.0,45
2014-01-05,65,55.4,45
2014-01-06,56,51.8,45
2014-01-07,61,54.1,47
2014-01-08,59,54.5,53
2014-01-09,59,54.3,52
2014-01-10,60,52.5,49
2014-01-11,57,51.2,46
2014-01-12,60,52.4,46
2014-01-13,66,56.0,45
2014-01-14,72,56.0,44
2014-01-15,72,58.6,50
2014-01-16,71,57.8,48
2014-01-17,66,55.5,45
2014-01-18,62,53.5,45
2014-01-19,66,54.2,44
2014-01-20,63,53.4,45
2014-01-21,67,53.6,44
2014-01-22,61,52.4,44
2014-01-23,68,56.4,45
2014-01-24,63,53.9,47
2014-01-25,64,56.4,50
2014-01-26,65,55.1,49
2014-01-27,59,53.1,49
2014-01-28,65,55.8,0
2014-01-29,63,57.9,54
2014-01-30,58,54.2,53
2014-01-31,60,53.0,47
2014-02-01,51,51.0,51
2014-02-02,51,48.7,47
2014-02-03,56,50.5,46
2014-02-04,54,49.4,45
2014-02-05,55,50.2,44
2014-02-06,52,50.2,48
2014-02-07,55,53.1,51
2014-02-08,59,56.1,53
2014-02-09,59,57.1,55
2014-02-10,57,54.1,52
2014-02-11,54,51.0,49
2014-02-12,55,49.4,46
2014-02-13,67,53.9,50
2014-02-14,65,58.7,55
2014-02-15,61,57.2,53
2014-02-16,63,56.5,51
2014-02-17,61,53.9,46
2014-02-18,62,54.3,48
2014-02-19,61,56.2,53
2014-02-20,64,54.9,46
2014-02-21,68,55.9,47
2014-02-22,65,53.2,47
2014-02-23,63,51.7,46
2014-02-24,71,55.8,45
2014-02-25,61,54.5,48
2014-02-26,59,57.1,54
2014-02-27,63,59.0,55
2014-02-28,61,56.9,54
2014-03-01,62,57.2,53
2014-03-02,60,55.9,52
2014-03-03,60,55.2,51
2014-03-04,61,57.1,53
2014-03-05,68,58.8,55
2014-03-06,62,57.4,54
2014-03-07,63,55.4,49
2014-03-08,66,57.0,48
2014-03-09,71,61.8,58
2014-03-10,64,58.7,55
2014-03-11,68,61.4,57
2014-03-12,71,63.9,58
2014-03-13,75,59.9,53
2014-03-14,67,58.4,53
2014-03-15,75,60.0,51
2014-03-16,67,57.1,52
2014-03-17,65,57.2,53
2014-03-18,71,58.9,49
2014-03-19,73,60.2,50
2014-03-20,67,57.3,52
2014-03-21,64,55.1,49
2014-03-22,64,55.0,48
2014-03-23,63,54.8,50
2014-03-24,70,55.8,48
2014-03-25,63,57.1,49
2014-03-26,61,57.1,54
2014-03-27,65,58.9,55
2014-03-28,69,60.6,56
2014-03-29,61,57.8,53
2014-03-30,60,55.7,51
2014-03-31,57,52.4,49
2014-04-01,58,50.6,48
2014-04-02,60,52.5,48
2014-04-03,63,55.0,49
2014-04-04,59,55.0,52
2014-04-05,63,56.7,50
2014-04-06,73,60.5,51
2014-04-07,81,66.0,55
2014-04-08,78,62.8,55
2014-04-09,63,56.1,52
2014-04-10,72,55.7,50
2014-04-11,63,56.8,53
2014-04-12,66,58.0,52
2014-04-13,70,58.4,54
2014-04-14,66,56.9,52
2014-04-15,65,57.7,53
2014-04-16,72,59.9,52
2014-04-17,63,58.0,53
2014-04-18,62,56.9,53
2014-04-19,63,57.5,52
2014-04-20,78,60.2,51
2014-04-21,65,58.3,53
2014-04-22,62,56.2,52
2014-04-23,65,57.9,52
2014-04-24,67,59.8,55
2014-04-25,59,55.7,52
2014-04-26,62,55.4,50
2014-04-27,63,57.8,54
2014-04-28,69,59.8,52
2014-04-29,86,68.0,55
2014-04-30,90,74.1,61
2014-05-01,86,72.3,63
2014-05-02,72,61.4,54
2014-05-03,66,59.4,55
2014-05-04,67,60.3,57
2014-05-05,66,59.8,55
2014-05-06,66,58.1,52
2014-05-07,63,56.7,51
2014-05-08,65,60.0,54
2014-05-09,66,58.9,55
2014-05-10,67,58.4,53
2014-05-11,74,64.1,53
2014-05-12,84,66.9,53
2014-05-13,92,72.6,59
2014-05-14,91,75.8,63
